Codigo_Edi;Numero_Alt;AnoC;Numero_Viv;USO;Npot;LCZ.cat;BUFF_RSOL;BUFF_SVF;BUFF_NDVI;BUFF_ACUS;BUFF_ALBED;BUFF_OZONO;perimetro;area;conv;elon;num_vecinos;vol;comp
133;8;1973;18;1;4;6;0.36;0.721;0.271;61.922;0.151;53.048;82.0343712;249.74545;0.801181343;0.682901192;3;6992.8726;0.328471935
134;8;1973;20;1;4;6;0.36;0.538;0.17;61.906;0.151;53.043;70.80723941;233.56255;0.854572274;0.7651188;3;6539.7514;0.303161784
135;8;1972;18;1;4;6;0.36;0.605;0.178;61.915;0.151;53.047;71.21494727;241.0243;0.887025669;0.772794798;2;6748.6804;0.295467914
136;6;1963;12;1;3;6;0.28;0.566;0.2;61.599;0.149;52.942;59.01179095;193.983;0.980949703;0.836658008;2;4073.643;0.304211147
137;7;1963;12;1;3;6;0.2;0.318;0.194;61.583;0.15;52.931;59.66641037;196.79065;0.975577188;0.833445587;2;4821.370925;0.303197384
138;6;1963;12;1;3;6;0.24;0.562;0.23;61.598;0.157;52.945;60.87889932;195.7179;0.989167159;0.814616896;2;4110.0759;0.311054325
139;6;1963;12;1;3;6;0.2;0.343;0.233;61.574;0.151;52.928;60.48740838;193.09605;0.989135424;0.814379156;2;4055.01705;0.313250366
140;6;1963;12;1;3;6;0.24;0.446;0.283;61.595;0.147;52.943;60.73614378;199.3104;1;0.823991436;2;4185.5184;0.304731433
141;6;1963;12;1;3;6;0.24;0.386;0.387;61.573;0.151;52.931;61.15440075;200.46135;1;0.820715324;2;4209.68835;0.305068287
142;6;1963;12;1;3;6;0.2;0.397;0.234;61.6;0.149;52.945;69.90187929;219.0028;0.899776641;0.750483095;2;4599.0588;0.319182583
143;6;1963;12;1;3;6;0.28;0.404;0.399;61.578;0.144;52.931;61.11317897;200.2656;1;0.820867828;2;4205.5776;0.305160641
144;6;1963;12;1;3;6;0.24;0.394;0.221;61.608;0.145;52.95;59.51707495;183.5579;0.971250272;0.806956071;2;3854.7159;0.324241424
145;6;1963;12;1;3;6;0.28;0.541;0.353;61.583;0.148;52.931;61.19902253;195.9343;0.988239537;0.810803624;2;4114.6203;0.31234461
146;6;1963;12;1;3;6;0.24;0.379;0.182;61.617;0.146;52.951;62.85231418;213.6051;0.976758638;0.824307911;2;4485.7071;0.294245382
147;6;1963;12;1;3;6;0.24;0.514;0.267;61.594;0.142;52.934;62.25193916;211.2729;0.985977536;0.827701885;2;4436.7309;0.294651795
148;6;1962;12;1;3;6;0.2;0.386;0.184;61.634;0.158;52.95;64.86651115;210.02445;0.926755153;0.791989311;2;4410.51345;0.308852189
149;6;1962;12;1;3;6;0.24;0.516;0.232;61.617;0.148;52.937;64.73456033;209.7661;0.927046489;0.793115397;2;4405.0881;0.308603537
150;6;1962;12;1;3;2;0.24;0.423;0.193;61.654;0.164;52.955;68.51697056;209.1834;0.942291762;0.74829077;2;4392.8514;0.32754497
151;6;1962;12;1;3;6;0.32;0.612;0.214;61.63;0.153;52.932;68.61880621;209.85415;0.943400887;0.748377212;2;4406.93715;0.326983318
152;6;1962;12;1;3;2;0.28;0.455;0.193;61.669;0.159;52.953;65.15396968;211.8371;0.928651668;0.79189037;2;4448.5791;0.307566378
153;6;1962;12;1;3;10;0.32;0.586;0.193;61.657;0.155;52.937;64.91942049;210.8336;0.929177177;0.792866758;2;4427.5056;0.30791781
154;6;1962;12;1;3;2;0.32;0.507;0.192;61.704;0.149;52.954;65.83359595;214.1524;0.922738782;0.787986591;2;4497.2004;0.307414701
155;6;1962;12;1;3;2;0.28;0.502;0.197;61.691;0.144;52.942;66.25107633;216.5926;0.923208074;0.787469607;2;4548.4446;0.305878762
156;6;1962;12;1;3;2;0.32;0.605;0.203;61.734;0.158;52.96;66.98901871;202.41265;0.944573696;0.752870259;2;4250.66565;0.330952728
157;6;1962;12;1;3;2;0.32;0.547;0.212;61.717;0.144;52.939;67.43888263;207.3307;0.945969548;0.756878856;2;4353.9447;0.325272054
158;6;1962;12;1;3;2;0.28;0.504;0.219;61.759;0.151;52.958;66.54165498;217.7574;0.922109877;0.7861362;2;4572.9054;0.305577009
159;6;1962;12;1;3;2;0.28;0.487;0.222;61.75;0.137;52.946;66.5860141;218.68385;0.924476292;0.787281904;2;4592.36085;0.304485284
160;8;1998;18;1;4;2;0.48;0.555;0.233;61.561;0.152;52.922;74.16925656;340.78375;1;0.882308463;3;9541.945;0.217643173
161;8;1998;18;1;4;9;0.64;0.798;0.217;61.56;0.145;52.903;74.0170355;339.4826;1;0.882433536;3;9505.5128;0.218028952
162;8;1998;18;1;4;2;0.6;0.64;0.164;61.561;0.151;52.901;72.71325262;326.3065;1;0.880651791;3;9136.582;0.222837279
163;8;1998;18;1;4;2;0.2;0.344;0.167;61.569;0.159;52.922;72.84688938;327.3847;1;0.880487328;3;9166.7716;0.222511588
164;3;1980;0;3;4;10;0.36;0.635;0.186;61.778;0.166;52.919;296.0111772;1744.75575;0.624596551;0.500223558;1;18319.93538;0.16965766
165;2;2007;0;3;4;10;0.72;0.821;0.159;61.665;0.169;52.916;120.0364163;522.43435;0.852981824;0.675006217;1;3657.04045;0.229763637
166;1;2021;0;3;4;10;0.72;0.909;0.176;61.616;0.164;52.908;102.7334474;599.1169;1;0.844595679;0;2096.90915;0.171474795
167;6;2011;15;2;4;10;0.64;0.791;0.162;61.847;0.125;52.884;255.372493;3305.41895;1;0.798075672;0;69413.79795;0.077258737
168;6;1960;10;1;3;2;0.32;0.573;0.175;61.677;0.146;52.972;61.99925565;205.2159;0.958286481;0.819075546;2;4309.5339;0.302117212
169;6;1960;11;1;3;2;0.28;0.481;0.331;61.645;0.152;52.96;62.28172446;192.2668;0.919513602;0.789217038;2;4037.6028;0.323933849
170;6;1960;10;1;3;2;0.32;0.574;0.206;61.677;0.143;52.974;59.81037626;193.37095;0.99170718;0.824183684;2;4060.78995;0.309303834
171;6;1960;12;1;3;2;0.24;0.454;0.37;61.641;0.147;52.961;65.65931247;205.06565;0.967197732;0.773134513;2;4306.37865;0.320186791
172;6;1960;10;1;3;2;0.28;0.51;0.289;61.673;0.141;52.976;61.51575622;204.21265;1;0.82349295;2;4288.46565;0.301233818
173;6;1960;12;1;3;2;0.24;0.429;0.429;61.646;0.147;52.965;66.84461316;215.83065;0.972662072;0.77910336;2;4532.44365;0.309708622
